Material,Material Description,Location,Limitations
114-810031-3,"BRACE-MAIN GEAR,DUAL WHEEL",Madison,
114-810031-5,"BRACE ASSY-MAIN GEAR,DUAL WHEEL",Madison,
114-810091-3,WHEEL AND TIRE ASSY-MAIN LDG GEAR,Madison,
114-820021-651,"LANDING GEAR ASSY-NOSE,LESS WHEEL/TIRE",Madison,
114-820022-17,CYLINDER ASSY-NOSE LDG GEAR,Madison,
114-820047-13,BRACE-NOSE GEAR,Madison,
114-820047-19,BRACE ASSY-NOSE GEAR,Madison,
114-820052-9,SHIMMY DAMPER ASSY-NLG,Madison,
114-820073-5,"TUBE ASSY-SHOCK ABSORBER, NLG",Madison,
114-820073-7,"TUBE ASSY-SHOCK ABSORBER, NLG",Madison,
114-820144-601,FORK ASSY WELD-SHOCK ABSORBER ASSY-NLG,Madison,
115-380002-5,"MOTOR ASSY, LG RETRACT",Madison,
115-810025-1,"HOUSING,SCREW-MLG ACTUATOR ASSY",Madison,
115-811020-17,GEARBOX ASSY-LDG GR RETRACT-W/O UP SW,Madison,
117-340242-1,"FILTER ASSY,AUDIO",Madison,
117-360034-13,CONVERTER ASSY-5 TO 28 VOLT,Madison,
117-364059-1,MODULE ASSY-FUEL TRANSFER,Madison,
117-364059-5,MODULE ASSY-FUEL TRANSFER,Madison,
117-364066-11,MODULE ASSY-LOW FUEL/WARN HORN/TIME DEL,Madison,
117-384007-3,"INDICATOR-DIGITAL,DC VOLT",Madison,
117-384009-5,"INDICATOR-DIGITAL,AC VOLT AND FREQ",Madison,
117-384019-3,INDICATOR-FUEL QUANTITY,Madison,
117-384019-7,INDICATOR-FUEL QUANTITY,Madison,
117-384033-3,INDICATOR-FUEL QUANTITY,Madison,
117-384039-1,"INDICATOR-DIGITAL,DC VOLT",Madison,
117-384041-1,"INDICATOR-DIGITAL,AC VOLT AND FREQ",Madison,
118-130000-601,"AILERON ASSY, LH",Madison,
118-380000-1,INDICATOR-FUEL QTY,Madison,
122-382142-13,"INDICATOR, STANDBY ALTIMETER",Madison,
122-382142-3,"INDICATOR, STANDBY ALTIMETER",Madison,
127-340000-1,ICS PANEL-PILOT,Madison,
127-340001-1,"PANEL ASSY-RADIO CONTROL,PILOT",Madison,
127-340002-1,"PANEL ASSY-RADIO CONTROL,COPILOT",Madison,
127-340058-15,PRINTED CIRCUIT BOARD ASSY-COMPONENT,Madison,
127-364046-7,MODULE ASSY-ANNUNCIATOR CONTROL,Madison,
128-320033-1,CONTROL UNIT ASSY - LANDING GEAR,Madison,
128-364066-5,PCB - LDG GEAR AND GRD SAFETY FWD,Madison,
128-364068-1,PCB LG ASY AFT(S/N,Madison,
128-364070-1,PCB AST TST LIT(SN,Madison,
128-364072-1,PCB ASY STL WRN(SN,Madison,
128-364072-5,PCB,Madison,
128-364074-1,"PCB ASSY-MASTER TEST & WARNING, LH & RH",Madison,
128-364076-1,PCB ASSY(S/N),Madison,
128-364078-1,PCB ASSY-INDICATOR LIGHT DIMMER CNTRL,Madison,
128-364080-1,PCB ASSY - INDICATOR LIGHT TEST,Madison,
128-364082-1,PCB ASY INST LI(SN,Madison,
128-364084-1,PCB ASY P&C(S/N),Madison,
128-364086-1,PCB ASSY-LANDING LIGHTS,Madison,
128-364088-1,PCB EMRG BUS(S/N),Madison,
128-364090-5,"PCB ASSY, ICE PROTECTION, LH",Madison,
128-364092-1,PCB ICE PRT (S/N),Madison,
128-364094-1,PCB DC POWER (S/N),Madison,
128-364096-1,PRINTED CIRCUIT BOARD ASSY,Madison,
128-364098-3,PCB SMOKE DET(S/N),Madison,
128-364100-1,PCB-FUEL TRANSFER,Madison,
128-364102-5,PCB-FUEL CONTROL,Madison,
128-364102-9,PCB-FUEL CONTROL,Madison,
128-364104-1,PCB-FUEL CROSS,Madison,
128-364106-1,PCB-POWER PLANT CONTROL,Madison,
128-364108-1,PCB-ENG STR,Madison,
128-364108-7,PCB-ENG STR,Madison,
128-364110-1,PCB-ENGINE START,Madison,
128-364110-5,PCB-ENGINE START,Madison,
128-364112-1,"PCB ASSY,ENV S/N",Madison,
128-364114-1,PCB BLEED AIR(S/N),Madison,
128-364116-1,PCB ASSY - NO.1 INVERTER CONTROL,Madison,
128-364118-1,PCB ASY-#2 INV CTL,Madison,
128-364120-1,PCB FLAP CNTRL(S/N,Madison,
128-364122-7,"PCB, ROLL TRIM",Madison,
128-364124-1,PCB PITCH TRIM(S/N,Madison,
128-364190-601,"WIRE HARNESS-UTILITY LIGHT,COCKPIT",Madison,
128-364190-602,"WIRE HARNESS-UTILITY LIGHT,COCKPIT",Madison,
128-364195-603,WIRE HARNESS ASSY-AIR CYCLE MACHINE,Madison,
128-364196-601,WIRE HARNESS-COCKPIT ROOM LIGHT,Madison,
128-380046-1,"MASTER CYLINDER,BRAKE,LH",Madison,
128-380046-2,"MASTER CYLINDER,BRAKE,RH",Madison,
128-384046-3,INDICATOR-FAN RPM,Madison,
128-440038-601,DOOR ASSY-AFT FUS,Madison,
128-520003-1,ROD ASSY,Madison,
128-520010-1,ROD ASSY,Madison,
128-520011-1,ROD ASSY,Madison,
128-520023-1,ROD ASSY,Madison,
128-520024-1,ROD ASSY,Madison,
128-520025-1,ROD ASSY-FLAP CONTROL MECHANISM,Madison,
128-520027-1,ROD ASSY,Madison,
128-520029-1,ROD ASSY,Madison,
128-520030-1,ROD ASSY,Madison,
128-520033-1,IDLER ARM ASSY,Madison,
128-520034-1,ROD ASSY-PEDAL ADJ,Madison,
128-520035-601,RUDDER PEDAL ASY.,Madison,
128-520035-651,TORQUE TUBE ASSY,Madison,
128-520042-1,ARM ASSY-PEDAL LEVER,Madison,
128-520043-1,"LEVER ASSY-PEDAL,LH",Madison,
128-520044-1,"LEVER ASSY-PEDAL,RH",Madison,
128-520047-1,ROD ASSY,Madison,
128-520047-3,ROD ASSY,Madison,
128-520051-601,GUST LOCK ASSY,Madison,
128-520061-7,DRIVE ASSY-JACK SCREW,Madison,
128-520078-1,DRIVE ASSY,Madison,
128-520085-1,ROD ASSY-AFT FLAP MECHANISM,Madison,
128-530005-49,"SEAT ASSY,PILOT",Madison,
128-530005-50,"SEAT ASSY,C/P",Madison,
128-530400-3AF,"SEAT, CREW",Madison,
128-550011-11,TUBE ASSY-LH DUCT,Madison,
128-550012-11,"TUBE ASSY-BLEED AIR DUCT,RH",Madison,
128-580107-1,VALVE ASSY,Madison,
128-580115-1,MANIFOLD ASSY,Madison,
128-610006-5,CABLE & CHAIN ASSY,Madison,
128-810032-0041,"LINK ASSY, TORQUE - MLG",Madison,
128-810032-25,LINK ASSY-TORQ,Madison,
128-810034-10,"SHOCK STRUT ASSY,RH-MLG",Madison,
128-810034-601,"MAIN LANDING GEAR,LH",Madison,
128-810034-602,"MAIN LANDING GEAR,RH",Madison,
128-810034-9,"SHOCK STRUT ASSY,LH-MLG",Madison,
128-810037-3,AXLE MLG  L/H,Madison,
128-810037-4,AXLE MLG R/H,Madison,
128-810081-1,"SIDE STRUT ASSY, MLG - LH",Madison,
128-810081-2,"SIDE STRUT ASSY, MLG - RH",Madison,
128-810081-3,"SIDE STRUT ASSY, MLG - LH",Madison,
128-810081-4,"SIDE STRUT ASSY, MLG - RH",Madison,
128-810081-5,"SIDE STRUT ASSY, MLG - LH",Madison,
128-810081-6,"SIDE STRUT ASSY, MLG - RH",Madison,
128-810085-601,STRUT ASSY LH,Madison,
128-810085-602,STRUT ASSY RH,Madison,
128-810085-651,STRUT ASSY LH,Madison,
128-810085-652,STRUT ASSY RH,Madison,
128-810085-653,STRUT ASSY LH,Madison,
128-810085-654,STRUT ASSY RH (SN),Madison,
128-810088-9,ROD ASSY,Madison,
128-820001/935,LANDING GEAR SWITCH TESTER,Madison,
128-820024-21,DRAG STRUT ASSY,Madison,
128-820028-1,"SHOCK STRUT ASSY, NLG",Madison,
128-820028-5,"SHOCK STRUT ASSY, NLG",Madison,
128-820028-6005,"SHOCK STRUT ASSY, NLG",Madison,
128-820028-6011,"SHOCK STRUT ASSY, NLG",Madison,
128-820028-7,"SHOCK STRUT ASSY, NLG",Madison,
128-820028-9,"SHOCK STRUT ASSY,NLG",Madison,
128-820029-605,FORK ASSY,Madison,
128-820029-609,FORK ASSY,Madison,
128-820031-9,"CYLINDER ASSY, OUTER - NLG",Madison,
128-820035-1,ROD ASSY,Madison,
128-820036-1,ROD ASSY,Madison,
128-820038-1,ROD ASSY,Madison,
128-820044-1,DRAG STRUT ASSY-NLG,Madison,
128-820044-601,DRAG STRUT ASSY-NLG,Madison,
128-820044-603,DRAG STRUT ASSY-NLG,Madison,
128-820044-605,DRAG STRUT ASSY-NLG,Madison,
128-820049-1,ROD ASSY,Madison,
129-364079-7,PCB ASSY,Madison,
129-380016-1,"POWER PANEL ASSY, ELECTRICAL",Madison,
129-389001-7,"ISOLATOR ASSY, ENGINE",Madison,
129-514106-49,"STRUT ASSY,AIRSTAIR DOOR",Madison,
129-521050-1,ACTUATOR L/H INBD,Madison,
129-521050-2,ACTUATOR R/H INBD,Madison,
129-521050-6001,"ACTUATOR ASSY - FLAP, INBD LH",Madison,
129-521050-6002,ACTUATOR R/H INBD,Madison,
129-521051-1,ACT L/H OUTBD(S/N),Madison,
129-521051-2,ACTUATOR-R OB FLAP,Madison,
129-521051-6001,ACTUATOR ASSY - FLAP LH,Madison,
129-521051-6002,"ACTUATOR ASSY - FLAP, OTBD RH",Madison,
129-8003-0009,"KIT-SOCKET,MACHINED,NO BUSHINGS - MLG",Madison,
129-810022-0001,"SOCKET ASSY-PISTON,DUAL WHEEL-MLG",Madison,
130-160000-1,"FLAP ASSY-OTBD,LH",Madison,
130-160000-2,"FLAP ASSY-OTBD,RH",Madison,
130-170032-615,"WINGLET ASSY,LH",Madison,
130-170032-616,"WINGLET ASSY,RH",Madison,
130-364076-5,MODULE ASSY-ANNUN FAULT DETEC / ICE VANE,Madison,
130-364090-1,MODULE ASSY-AIR COND CNTRL / ICE VANE SE,Madison,
130-364090-5,MODULE ASSY-AIR COND CNTRL / ICE VANE SE,Madison,
130-364125-9,MODULE ASSY-AMBIENT AIR AND BRAKE DEICE,Madison,
130-610000-602,ELEVATOR ASSY,Madison,
130-810021-6001,LANDING GEAR ASSEMBLY (SPARES),Madison,
130-810023-0001,AXLE AND PISTON ASSEMBLY,Madison,
130-810172-601,LANDING GEAR ASSY - HI-FLOAT,Madison,
130-810172-7001,"LANDING GEAR EQUIPMENT ASSEMBLY, MAIN",Madison,
132-100021-4,"LEADING EDGE ASSY,INBD-WING",Madison,
132-100034-602,CENTER LEADING EDGE ASSY,Madison,
132-3028-0015,KIT-PANEL ASSY (KA119),Madison,
